specimen,taxon,loco
CMNHHTB1806Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
CMNHHTB1846Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH170668Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
AMNH170672Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
AMNH170675Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
AMNH170680Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
AMNH170689Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
AMNH170691Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
BMNH1870-5-5-4Hapalemur_griseus,Hapalemur_griseus,VCL
BMNH1958-3-4-5Hapalemur_griseus,Hapalemur_griseus,VCL
FMNH57631Hapalemur_griseus,Hapalemur_griseus,VCL
MNHN1940-318Hapalemur_simus,Hapalemur_simus,VCL
MNHN2000-377Hapalemur_griseus,Hapalemur_griseus,VCL
NMNH83662Hapalemur-griseus_griseus,Hapalemur_griseus,VCL
NMNH83666Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
NMNH83667Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
NMNH83668Hapalemur_griseus_griseus,Hapalemur_griseus,VCL
AMNH11092Hylobates_hoolock,Hylobates_hoolock,Susp
AMNH43065Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83415Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83416Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83417Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83419Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83420Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83423Hylobates_hoolock,Hylobates_hoolock,Susp
AMNH83425Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH83426Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
AMNH112720Hylobates_hoolock_hoolock,Hylobates_hoolock,Susp
MCZ35943Hylobates_lar_lar,Hylobates_lar,Susp
MCZ35945Hylobates_lar_lar,Hylobates_lar,Susp
MCZ35946Hylobates_lar_lar,Hylobates_lar,Susp
MCZ35949Hylobates_lar_lar,Hylobates_lar,Susp
